delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff
1396324,143176,163947,bicycle,MAC Cosmetics,Beauty Supply,,,,,40.75853877,-73.98542771,40.7598179,-73.98764,01:58.2,29:03.0,50:52.6,53:52.4
1463205,328731,123581,bicycle,Nobu Next Door,Sushi,Crispy Rice,1,Dinner Hot Dishes,05:22.1,40.71938641,-74.0086925,40.722975,-74.000297,00:50.6,17:28.2,54:19.9,02:52.6
1277049,253195,132101,truck,Jack's Wife Freda,Mediterranean,Hand-Cut Fries,1,Sides,05:56.0,40.72198995,-73.9977479,40.684756,-74.003615,39:26.8,47:54.8,08:14.3,34:59.9
1420809,342126,99219,bicycle,Parm,Italian,Sausage and Peppers,1,Platters,07:14.7,40.72301983,-73.995854,40.7238607,-73.9969814,42:18.9,46:37.7,58:53.9,03:32.1
1397032,299086,164384,car,Trader Joe's,Grocery Store,Rice Milk - Original,4,Beverages,,40.778504,-73.982092,40.784081,-73.949398,22:22.4,00:38.6,18:28.4,41:56.0
1461579,320187,105178,bicycle,Postmates Liquor Store,Shop,Don Julio Reposado (750ml),1,Tequila,,40.779598,-73.947388,40.78353229,-73.97607764,31:30.7,44:56.9,58:46.3,16:20.5
1356529,131645,143085,car,Yama 49,Sushi,"Sea Scallop, Flying Fish Roe",1,Yama Special Dinner Rolls,13:03.2,40.75382474,-73.96852412,40.768279,-73.952297,52:31.9,10:06.1,25:26.1,33:05.4
1387976,80737,64664,bicycle,RedFarm Broadway,Chinese,Pan-Fried Pork Buns (4),1,Dim Sum,04:37.6,40.7821167,-73.9807391,40.775387,-73.98274,40:11.6,52:27.8,02:24.0,08:56.4
1460012,198802,161459,bicycle,DuMont Burger,Burger,Buffalo WIngs,1,Appetizers & Salads,03:25.4,40.71360004,-73.96191895,40.7443781,-73.990925,29:31.5,37:57.4,58:47.5,24:46.1
1474437,112483,3296,bicycle,CVS Pharmacy,,,,,,40.6889912,-73.99277358,40.686592,-73.98714,41:16.9,40:40.5,48:31.0,53:08.4
1439801,384390,53095,bicycle,El Parador Cafe,Mexican,Nachos,1,Dinner,11:25.3,40.7444509,-73.974867,40.749781,-73.977572,00:50.9,46:43.5,53:03.4,58:26.2
1309391,275689,20217,car,Nobu Next Door,Sushi,New Style Sashimi,1,Dinner Cold Dishes,07:17.9,40.71938641,-74.0086925,40.7202117,-74.0021308,06:02.3,,,05:04.5
1319656,43018,79847,bicycle,RedFarm Hudson,Chinese,Diced Lamb with Mixed Vegetables,2,Dinner Specials,06:04.6,40.73421385,-74.00620203,40.722498,-74.00914,49:20.0,03:05.4,16:25.7,26:32.6
1488977,111356,22502,bicycle,Bhatti Indian Grill,Indian,Naan,1,Breads,08:18.5,40.7422281,-73.983076,40.7396369,-73.9996282,19:40.5,48:48.8,08:28.3,17:08.6
1440128,106968,142394,bicycle,Blue Ribbon Fried Chicken,American,2 Piece White,2,Combos,,40.72434,-73.99096,40.740569,-73.996938,33:08.6,56:46.0,10:32.1,22:09.5
1284598,101746,138061,car,Balthazar Boulangerie,French,Cinnamon Roll,1,Petit Dejeuner,,40.72270549,-73.99819851,40.7302564,-73.9756484,23:51.8,42:41.6,54:51.9,12:05.3
1350817,42461,147300,bicycle,McDonald's,Fast Food,Crispy Chicken Classic Sandwich,2,Burgers & Sandwiches,,40.73772669,-73.99651528,40.735576,-74.007376,02:54.9,20:35.2,31:55.4,37:50.7
1343449,17495,138057,car,The Meatball Shop,Italian,Ice Cream Sandwich,1,Desserts,02:26.4,40.72154512,-73.98884243,40.70940974,-74.00671357,38:33.2,49:06.1,00:26.2,19:37.7
1280783,353742,65763,bicycle,Clinton St. Baking Co. & Restaurant,,Pancakes,1,Breakfast for Dinner,09:13.1,40.721294,-73.983994,40.730251,-73.993574,19:26.8,53:31.0,58:51.1,12:11.8
1479887,137042,46764,bicycle,Duane Reade,Drug Store,,,,,40.76393002,-73.97746171,40.763452,-73.980516,33:06.3,43:31.0,08:06.5,10:21.1
1303255,153538,134189,car,J. G. Melon,Burger,Cottage Fried Potatoes,2,Main Menu,,40.77113521,-73.9596231,40.7444652,-73.975611,09:47.7,,,52:19.8
1320057,156877,109259,bicycle,Unleashed by Petco,,,,,,40.77436646,-73.98089097,40.7658079,-73.9772075,45:23.1,59:05.3,07:56.3,18:03.1
1287237,103416,132738,bicycle,Trader Joe's,Grocery Store,Organic Marinara Sauce - No Salt Added,1,"Grains, Pasta & Sides",,40.74174,-73.99365,40.7454554,-73.9769235,40:30.7,48:36.1,53:50.5,14:47.6
1316015,353597,83565,bicycle,Momofuku Milk Bar,Dessert,Compost Cookie,2,Cookies,,40.73179547,-73.98567259,40.711346,-74.0164356,57:27.1,59:14.3,39:11.4,50:10.4
1362880,298257,119153,car,Sushi of Gari 46,Sushi,Kabocha Tempura,1,Appetizers,10:11.6,40.76065444,-73.98958275,40.7319685,-74.0043175,56:23.6,26:41.9,48:03.7,10:26.4
1295503,346265,137090,bicycle,Mighty Quinn's BBQ,BBQ,Sweet Potato Casserole,1,Sides,,40.72751895,-73.9886713,40.7086182,-74.015465,49:31.9,52:27.6,27:19.6,50:21.1
1452245,362146,144719,bicycle,Mighty Quinn's BBQ,BBQ,Pulled Pork,1,Meats,,40.72751895,-73.9886713,40.7324282,-74.0080594,25:45.3,32:06.7,07:50.9,26:06.2
1281295,75115,118659,walker,Momofuku Milk Bar,Dessert,Fruity Cereal Milk Shake,1,Shakes,,40.73179547,-73.98567259,40.732029,-73.993405,17:15.4,,,02:40.2
1410276,66543,46760,car,Carnegie Deli,Deli,Chicken Broth Soup,1,Soups,03:59.6,40.76413503,-73.98119223,40.7577512,-73.9669336,19:32.3,42:46.7,48:36.7,59:25.5
1396927,138586,31230,car,Blue Smoke,BBQ,Maque Choux,1,Sides,04:30.0,40.742334,-73.9838552,40.801488,-73.96969,09:57.9,24:31.9,40:50.2,06:13.5
1423843,84457,89004,bicycle,Nobu Next Door,Sushi,Eggplant Special,1,Dinner Hot Dishes,05:20.2,40.71938641,-74.0086925,40.738649,-73.987948,55:24.2,05:54.4,51:13.0,54:47.8
1425904,66373,165830,van,Jack's Wife Freda,Mediterranean,Grilled Haloumi,1,Shares,07:16.0,40.72198995,-73.9977479,40.72206901,-73.99674398,42:50.1,,,11:13.8
1293831,94480,143261,bicycle,The Meatball Shop,Italian,Vegetable,1,Naked Balls,06:53.9,40.77149125,-73.95633415,40.7735382,-73.9621981,41:08.9,44:24.9,01:45.4,07:36.0
1468130,123780,151208,bicycle,Five Guys Burgers and Fries,Burger,Bacon Cheeseburger,1,Burgers,,40.80440427,-73.96643044,40.8351339,-73.942958,54:26.9,57:30.6,14:20.1,27:18.0
1432731,81110,138560,bicycle,Hill Country Fried Chicken,Southern,Drum,1,Fried Chicken,,40.74307542,-73.98914659,40.7427331,-73.9807431,55:38.7,05:19.7,18:09.5,24:45.6
1448944,149813,147033,car,Rice to Riches,Dessert,The Edge of Rum Raisin,1,Year Round Flavors,,40.72173557,-73.99593566,40.7704996,-73.9815465,19:18.2,27:13.8,41:00.7,08:36.3
