,delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff,distance_crossed,courrier_timing
984,1453807,381840,20962,walker,Il Cantinori,Italian,Pappardelle Alla Buttera,1,Menu,02:29.2,40.73246753,-73.99323269,40.738404,-73.984801,03:48.5,23:07.5,31:54.4,00:42:41,0.970498461,30:05.6
985,1321950,297232,53095,bicycle,Empanada Mama (closed),Mexican,Shredded Chicken,2,Oven Baked Wheat Flour,02:18.3,40.764217,-73.988321,40.7637931,-73.9722014,02:41.6,04:01.8,16:52.8,25:35.5,1.361865158,10:02.9
990,1404174,122609,32580,bicycle,Blue Ribbon Sushi Izakaya,Japanese,Yaki Salmon,1,Taiseyo (Atlantic Ocean),12:27.1,40.72197958,-73.98814821,40.7093232,-74.0158665,01:27.7,23:56.2,37:15.6,49:34.2,2.731423248,34:47.1
1001,1325730,94524,72941,bicycle,The Meatball Shop,Italian,Chicken,1,Naked Balls,06:15.4,40.77149125,-73.95633415,40.77475672,-73.94567694,16:47.5,24:14.1,00:38:05,45:43.2,0.97004367,15:04.8
1030,1431655,378027,104989,bicycle,RedFarm Broadway,Chinese,Katz�۪s Pastrami Egg Roll,1,Starters & Salads,09:03.1,40.7821167,-73.9807391,40.7914552,-73.9735057,06:47.3,12:38.1,44:28.2,00:53:53,1.203415261,15:15.6
1054,1306831,284256,122096,car,Empanada Mama (closed),Mexican,Chuleta Empanizada,1,Entrees,10:06.2,40.764217,-73.988321,40.7385499,-73.994985,08:20.8,10:20.6,34:09.9,44:49.1,2.905336118,12:39.0
1057,1303716,133349,154545,bicycle,Vanessa's Dumplings,Chinese,Basil & Chicken Dumplings,1,Bolied,10:13.4,40.7329359,-73.98644352,40.7269695,-73.9960643,45:56.9,51:23.8,14:13.6,27:07.8,1.048586931,18:21.1
1068,1329730,149984,69943,bicycle,Sushi of Gari 46,Sushi,Salmon Tomato Roll,1,Special Sushi Rolls,09:05.0,40.76065444,-73.98958275,40.7736712,-73.9583353,29:48.9,55:04.7,03:54.8,21:16.8,3.008286841,42:37.8
1079,1297523,105460,104533,bicycle,Burger Joint,Burger,Milkshakes,2,Menu,03:22.6,40.76407583,-73.97863253,40.7705903,-73.96735623,23:25.5,39:17.3,53:12.4,59:43.9,1.195729951,22:23.3
1087,1345301,240014,62860,bicycle,Sarabeth's,American,Crab Meat Guacamole & Chips,1,Brunch Starters,04:44.4,40.74257883,-73.98433728,40.75159155,-73.9692805,41:41.1,44:55.4,32:18.6,35:34.7,1.618259454,06:30.4
