,delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff,distance_crossed
2815,1418789,97079,39733,bicycle,Donburi-ya,Japanese,Yaki Ramen,1.0,Noodles,04:18.0,40.75446491,-73.9731457,40.76460273,-73.98010481,00:03:51.200000,00:13:41.800000,00:35:01.700000,00:45:42.200000,1.269932061353627
2822,1481109,142574,119794,bicycle,Sushi of Gari,Sushi,Spicy Tuna,1.0,Maki Sushi Cut-Up Roll,13:28.0,40.77156871,-73.95278683,40.7859964,-73.9526793,00:42:35.900000,00:53:10.800000,00:23:00.500000,00:32:47.200000,1.602215412712408
2825,1368206,79215,61900,bicycle,Blue Ribbon Sushi,Japanese,Toshi's Choice Per Person,1.0,Platters,14:36.9,40.72610966,-74.00249186,40.7220335,-74.0012856,00:26:54.600000,00:39:48.300000,00:17:08,00:22:43,0.46398219027084714
2827,1368665,81041,15291,car,Westville Hudson,American,Smokey Mac and Cheese,1.0,Appetizers,05:52.5,40.72703111,-74.00751114,40.7436906,-74.0064005,00:16:23.400000,00:41:51.800000,00:48:41.800000,00:58:52.900000,1.8523935614554086
2832,1314369,210544,3296,bicycle,Despa̱a,Spanish,Serrano Manchego,1.0,Pintxos,08:46.8,40.72107834,-73.99788683,40.7077779,-74.013832,00:08:07,00:08:48.200000,00:26:38.300000,00:42:14.100000,1.9991965646589775
2833,1299435,38336,61900,bicycle,Rubirosa,Italian,Eggplant Parmigiano,1.0,Appetizers,09:45.2,40.72274859,-73.99606192,40.729694,-74.00736203,00:12:16.200000,00:18:32.400000,00:39:22,00:47:27.300000,1.2272920021256926
2848,1278549,292295,145302,bicycle,Peacefood Cafe,Vegan,Chickpea Fries,1.0,Side Dishes,02:44.7,40.73330118,-73.99298592,40.7442987,-73.9836641,00:23:37.800000,00:29:40.900000,00:45:16,00:54:01.800000,1.4530829254120425
2851,1329730,149984,69943,bicycle,Sushi of Gari 46,Sushi,Spicy Scallop Roll,1.0,Rolls,09:05.0,40.76065444,-73.98958275,40.7736712,-73.9583353,00:29:48.900000,00:55:04.700000,00:03:54.800000,00:21:16.800000,3.00828684080235
2852,1302923,337525,3296,bicycle,Franchia,Vegan,Tropical Mango & Avocado Roll,1.0,Sushi,04:43.3,40.7475513,-73.98114057,40.7640334,-73.9770219,00:44:22.100000,00:51:38.400000,00:04:44.300000,00:18:06.600000,1.8630756573563676
2853,1470836,134058,154545,bicycle,The Meatball Shop,Italian,Market Salad,1.0,Green Market,05:19.0,40.72154512,-73.98884243,40.72803678,-74.00170877,00:32:42.700000,00:43:03.100000,00:49:23.500000,00:57:43.600000,1.304321797868373
2857,1488823,241719,32580,bicycle,Kori Restaurant and Bar,Korean,Chicken KangJung,1.0,Small Plates,09:39.8,40.717946,-74.00547308,40.7069298,-74.0086171,00:00:10.400000,00:22:09.400000,00:31:30.900000,00:39:11.400000,1.2518460182495348
2859,1403190,95101,154749,car,Blue Ribbon Sushi Bar & Grill,Japanese,Kyuri Special,1.0,Maki (Special Rolls),08:04.8,40.76765291,-73.98292546,40.7451246,-74.0025499,00:14:54.800000,00:37:20.100000,00:47:14.500000,00:58:58.500000,3.0008282122692553
2864,1461700,320187,99219,bicycle,TAO,Japanese,Kung Pao Chicken,1.0,From the Sky,05:07.4,40.76285776,-73.971619,40.78353229,-73.97607764,00:38:30,00:46:13,00:44:33,00:56:16.800000,2.326548417757882
2865,1460674,361220,108297,bicycle,Carmine's,Italian,Bottled Water,2.0,Beverages,03:56.9,40.75759514,-73.98686886,40.7467444,-73.9820939,00:25:37.800000,00:27:22.200000,00:41:21.900000,00:54:02.300000,1.2706478745684446
2872,1319878,96943,65763,bicycle,Cafe Mogador,Middle Eastern,Hummus Platter,1.0,Salads & Platters,04:00.9,40.727293,-73.984517,40.72593845,-73.98055024,00:19:30.300000,00:40:41.400000,00:47:02.200000,00:55:39.600000,0.3673300593558739
2874,1286764,141596,139444,bicycle,Peacefood Cafe,Vegan,Vegetable Tempura,1.0,Side Dishes,15:44.1,40.78516004,-73.97691647,40.800023,-73.971317,00:06:43.600000,00:10:21.100000,00:42:37.200000,00:54:57.800000,1.7168540228341114
2876,1457697,369852,67430,bicycle,Taim Falafel and Smoothie Bar,Food Truck,Hummus Sandwich,1.0,Sandwiches,11:39.7,40.73595141,-74.00176042,40.747578,-73.973193,00:31:21.600000,00:53:25.700000,00:01:15.800000,00:20:16.700000,2.736601578039852
2881,1371397,349206,156557,car,French Roast,French,French Fries,1.0,Sides,10:48.0,40.78761311,-73.97712309,40.782797,-73.984308,00:37:07.100000,00:43:41.100000,00:02:31.700000,00:10:02.400000,0.8086018077783264
2882,1449370,67845,112990,bicycle,RedFarm Hudson,Chinese,Three Chili Chicken,1.0,Mains,05:54.6,40.73421385,-74.00620203,40.7310698,-74.0098559,00:00:16.700000,00:00:32.600000,00:19:20,00:26:13.900000,0.466015437578861
